,POL,POD
0,"Semarang, Indonesia","Seattle, WA"
1,"Semarang, Indonesia","Oakland, CA"
2,"Semarang, Indonesia","Los Angeles, CA"
3,"Semarang, Indonesia","Houston, TX"
4,"Semarang, Indonesia","New Orleans, LA"
5,"Semarang, Indonesia","Mobile, AL"
6,"Semarang, Indonesia","Tampa, FL"
7,"Semarang, Indonesia","Miami, FL"
8,"Semarang, Indonesia","Jacksonville, FL"
9,"Semarang, Indonesia","Savannah, GA"
10,"Semarang, Indonesia","Charleston, SC"
11,"Semarang, Indonesia","Norfolk, VA"
12,"Semarang, Indonesia","Philadelphia, PA"
13,"Semarang, Indonesia","New York, NY"
14,"Semarang, Indonesia","Boston, MA"
15,"Nhava Sheva, India","Seattle, WA"
16,"Nhava Sheva, India","Oakland, CA"
17,"Nhava Sheva, India","Los Angeles, CA"
18,"Nhava Sheva, India","Houston, TX"
19,"Nhava Sheva, India","New Orleans, LA"
20,"Nhava Sheva, India","Mobile, AL"
21,"Nhava Sheva, India","Tampa, FL"
22,"Nhava Sheva, India","Miami, FL"
23,"Nhava Sheva, India","Jacksonville, FL"
24,"Nhava Sheva, India","Savannah, GA"
25,"Nhava Sheva, India","Charleston, SC"
26,"Nhava Sheva, India","Norfolk, VA"
27,"Nhava Sheva, India","Philadelphia, PA"
28,"Nhava Sheva, India","New York, NY"
29,"Nhava Sheva, India","Boston, MA"
30,"Karachi, Pakistan","Seattle, WA"
31,"Karachi, Pakistan","Oakland, CA"
32,"Karachi, Pakistan","Los Angeles, CA"
33,"Karachi, Pakistan","Houston, TX"
34,"Karachi, Pakistan","New Orleans, LA"
35,"Karachi, Pakistan","Mobile, AL"
36,"Karachi, Pakistan","Tampa, FL"
37,"Karachi, Pakistan","Miami, FL"
38,"Karachi, Pakistan","Jacksonville, FL"
39,"Karachi, Pakistan","Savannah, GA"
40,"Karachi, Pakistan","Charleston, SC"
41,"Karachi, Pakistan","Norfolk, VA"
42,"Karachi, Pakistan","Philadelphia, PA"
43,"Karachi, Pakistan","New York, NY"
44,"Karachi, Pakistan","Boston, MA"
45,"Hai Phong, Vietnam","Seattle, WA"
46,"Hai Phong, Vietnam","Oakland, CA"
47,"Hai Phong, Vietnam","Los Angeles, CA"
48,"Hai Phong, Vietnam","Houston, TX"
49,"Hai Phong, Vietnam","New Orleans, LA"
50,"Hai Phong, Vietnam","Mobile, AL"
51,"Hai Phong, Vietnam","Tampa, FL"
52,"Hai Phong, Vietnam","Miami, FL"
53,"Hai Phong, Vietnam","Jacksonville, FL"
54,"Hai Phong, Vietnam","Savannah, GA"
55,"Hai Phong, Vietnam","Charleston, SC"
56,"Hai Phong, Vietnam","Norfolk, VA"
57,"Hai Phong, Vietnam","Philadelphia, PA"
